Date,Close,Open,High,Low,Vol.,Change %
4-Jan-20,0.6544,0.6613,0.6627,0.6467,107.40K,-1.05%
3-Jan-20,0.6613,0.6258,0.6657,0.6215,192.63K,5.67%
2-Jan-20,0.6258,0.6722,0.6754,0.6227,194.45K,-6.90%
1-Jan-20,0.6722,0.6537,0.6746,0.6486,147.16K,2.82%
31-Dec-19,0.6537,0.6784,0.6839,0.6463,228.34K,-3.64%
30-Dec-19,0.6784,0.6612,0.6853,0.6576,302.78K,2.59%
29-Dec-19,0.6612,0.6493,0.6754,0.6451,157.80K,1.85%
28-Dec-19,0.6493,0.6448,0.6531,0.6397,104.41K,0.69%
27-Dec-19,0.6448,0.6527,0.6544,0.6388,98.80K,-1.22%
26-Dec-19,0.6528,0.6476,0.6674,0.6396,98.87K,0.81%
25-Dec-19,0.6476,0.6529,0.6568,0.6365,108.87K,-0.82%
24-Dec-19,0.6529,0.6621,0.6736,0.6493,143.78K,-1.38%
23-Dec-19,0.6621,0.6807,0.6956,0.655,151.96K,-2.73%
22-Dec-19,0.6807,0.6706,0.6856,0.6559,206.50K,1.50%
21-Dec-19,0.6706,0.709,0.7091,0.6651,220.68K,-5.42%
20-Dec-19,0.709,0.6739,0.7097,0.6686,184.31K,5.23%
19-Dec-19,0.6738,0.7044,0.7113,0.6576,157.58K,-4.34%
18-Dec-19,0.7044,0.6318,0.7134,0.6205,217.90K,11.49%
17-Dec-19,0.6318,0.7,0.7,0.6202,319.86K,-9.74%
16-Dec-19,0.7,0.7435,0.7469,0.6848,488.57K,-5.86%
15-Dec-19,0.7435,0.732,0.7486,0.7242,80.74K,1.57%
14-Dec-19,0.732,0.7827,0.7907,0.725,195.65K,-6.48%
13-Dec-19,0.7827,0.7958,0.7978,0.7776,144.88K,-1.65%
12-Dec-19,0.7958,0.804,0.8053,0.7871,99.31K,-1.01%
11-Dec-19,0.804,0.7962,0.8192,0.7916,152.42K,0.97%
10-Dec-19,0.7962,0.8125,0.8139,0.7846,183.29K,-2.01%
9-Dec-19,0.8125,0.8337,0.842,0.8076,173.43K,-2.55%
8-Dec-19,0.8337,0.8224,0.8386,0.8103,144.20K,1.38%
7-Dec-19,0.8224,0.8228,0.8331,0.8189,132.10K,-0.05%
6-Dec-19,0.8228,0.818,0.8244,0.8045,170.22K,0.59%
5-Dec-19,0.818,0.8057,0.8329,0.8007,102.78K,1.53%
4-Dec-19,0.8057,0.844,0.8474,0.7845,356.34K,-4.54%
3-Dec-19,0.844,0.8403,0.8513,0.8317,193.33K,0.44%
2-Dec-19,0.8403,0.8846,0.8851,0.832,264.15K,-5.03%
1-Dec-19,0.8848,0.8897,0.9153,0.8403,305.26K,-0.55%
30-Nov-19,0.8897,0.9031,0.9129,0.8366,292.47K,-1.49%
29-Nov-19,0.9031,0.8247,0.9169,0.8185,320.16K,9.50%
28-Nov-19,0.8247,0.8336,0.8482,0.818,183.26K,-1.06%
27-Nov-19,0.8336,0.8042,0.8461,0.7744,327.81K,3.65%
26-Nov-19,0.8042,0.7729,0.8043,0.7664,198.29K,4.05%
25-Nov-19,0.7729,0.7598,0.8112,0.6919,675.00K,1.75%
24-Nov-19,0.7596,0.8046,0.8063,0.75,195.82K,-5.60%
23-Nov-19,0.8046,0.7942,0.8127,0.758,172.79K,1.30%
22-Nov-19,0.7942,0.8661,0.8692,0.7359,833.01K,-8.30%
21-Nov-19,0.8661,0.9016,0.9382,0.8498,525.45K,-3.93%
20-Nov-19,0.9016,0.8677,0.9353,0.8661,644.83K,3.90%
19-Nov-19,0.8677,0.8685,0.8717,0.8475,202.46K,-0.08%
18-Nov-19,0.8685,0.9202,0.9271,0.858,539.73K,-5.92%
17-Nov-19,0.9231,0.9304,0.9492,0.9125,212.75K,-0.79%
16-Nov-19,0.9304,0.9323,0.9423,0.9217,121.54K,-0.20%
15-Nov-19,0.9323,0.9838,0.9838,0.9205,417.22K,-5.24%
14-Nov-19,0.9838,0.992,0.9954,0.9409,532.19K,-0.83%
13-Nov-19,0.992,1.0281,1.0312,0.9839,342.23K,-3.50%
